"TIMESTAMP","BattV_Min","PTemp_C_Max","Temp","Temp_Avg","Temp_Max","Temp_TMx","Temp_Min","Temp_TMn","Umid","Umid_Avg","Umid_Max","Umid_TMx","Umid_Min","Umid_TMn","Pressao","Pressao_Avg","Pressao_Max","Pressao_TMx","Pressao_Min","Pressao_TMn","Tempbar","Tempbar_Avg","Tempbar_Max","Tempbar_TMx","Tempbar_Min","Tempbar_TMn","RadFlux","RadFlux_Avg","RadFlux_Max","RadFlux_TMx","RadTot_Tot","VelVento_Max","VelVento_TMx","VelVento_S_WVT","DirVento_D1_WVT","DirVento_SD1_WVT","Chuva_Tot"
"TS","Volts","Deg C","C","C","C","","C","","%","%","%","","%","","mbar","mbar","mbar","","mbar","","C","C","C","","C","","W/m^2","W/m^2","W/m^2","","MJ/m^2","meters/second","","meters/second","Deg","Deg","mm"
"2023-04-01 00:00:00",12.05,27.91,25,24.7,25.01,"2023-03-31 23:59:31",24.48,"2023-03-31 23:20:21",86.1,86.3,86.8,"2023-03-31 23:26:11",85.9,"2023-03-31 23:53:11",1011,1011.244,1011.637,"2023-03-31 23:03:02",1010.64,"2023-03-31 23:55:42",27.97,28.09848,28.291,"2023-03-31 23:00:01",27.954,"2023-03-31 23:55:52",0,0,0,"2023-03-31 23:00:01",0,3.332,"2023-03-31 23:42:49",0.931,36.53,27.95,0
"2023-04-01 01:00:00",12.06,27.59,24.82,24.9,25.05,"2023-04-01 00:01:11",24.79,"2023-04-01 00:55:11",85.9,86.1,86.4,"2023-04-01 00:47:41",85.8,"2023-04-01 00:06:41",1011,1011.002,1011.088,"2023-04-01 00:09:42",1010.729,"2023-04-01 00:00:02",28,27.99298,28.029,"2023-04-01 00:33:42",27.944,"2023-04-01 00:01:12",0,0,0,"2023-04-01 00:00:01",0,2.94,"2023-04-01 00:20:47",0.501,337.9,42.8,0
"2023-04-01 02:00:00",12.06,27.59,24.5,24.57,24.84,"2023-04-01 01:01:21",24.42,"2023-04-01 01:32:51",86.3,86.3,86.8,"2023-04-01 01:22:41",85.5,"2023-04-01 01:46:21",1011,1010.671,1011.008,"2023-04-01 01:10:02",1010.359,"2023-04-01 01:42:32",27.79,27.90447,28.01,"2023-04-01 01:00:02",27.784,"2023-04-01 01:57:12",0,0,0,"2023-04-01 01:00:01",0,2.744,"2023-04-01 01:35:51",0.858,47.1,25.76,0
"2023-04-01 03:00:00",12.05,27.53,24.98,24.59,25.04,"2023-04-01 02:57:31",24.3,"2023-04-01 02:18:41",83.1,86.2,87.7,"2023-04-01 02:21:01",83.1,"2023-04-01 02:59:51",1010,1010.45,1010.631,"2023-04-01 02:24:52",1010.173,"2023-04-01 02:59:42",27.96,27.8598,27.981,"2023-04-01 02:57:52",27.775,"2023-04-01 02:00:52",0,0,0,"2023-04-01 02:00:01",0,3.234,"2023-04-01 02:55:28",0.472,142.9,42.09,0
"2023-04-01 04:00:00",12.06,27.59,24.34,24.73,25.07,"2023-04-01 03:11:31",24.32,"2023-04-01 03:58:01",85.9,83.8,85.9,"2023-04-01 03:59:51",82.4,"2023-04-01 03:18:01",1010,1010.32,1010.49,"2023-04-01 03:37:52",1010.148,"2023-04-01 03:53:42",27.78,27.95978,28.038,"2023-04-01 03:17:02",27.775,"2023-04-01 03:59:42",0,0,0,"2023-04-01 03:00:01",0,6.86,"2023-04-01 03:50:58",2.586,184.8,21.94,0
"2023-04-01 05:00:00",12.06,27.37,23.4,24.07,24.41,"2023-04-01 04:12:01",23.4,"2023-04-01 04:59:51",83.8,84.9,86.2,"2023-04-01 04:02:21",83.8,"2023-04-01 04:59:51",1010,1010.427,1010.634,"2023-04-01 04:37:02",1010.259,"2023-04-01 04:58:32",27.26,27.56898,27.794,"2023-04-01 04:00:12",27.257,"2023-04-01 04:59:22",0,0,0,"2023-04-01 04:00:01",0,8.82,"2023-04-01 04:58:25",3.079,192.4,24.99,0
"2023-04-01 06:00:00",12.05,26.9,23.06,23.19,23.41,"2023-04-01 05:00:11",23.04,"2023-04-01 05:53:31",75.83,79.03,83.8,"2023-04-01 05:00:01",75.66,"2023-04-01 05:57:31",1011,1010.783,1011.233,"2023-04-01 05:59:42",1010.241,"2023-04-01 05:04:42",26.44,26.8229,27.257,"2023-04-01 05:00:01",26.426,"2023-04-01 05:59:42",0,0,0,"2023-04-01 05:00:01",0,8.33,"2023-04-01 05:39:39",3.655,199.6,21.64,0
"2023-04-01 07:00:00",12.05,26.07,22.68,22.84,23.1,"2023-04-01 06:00:41",22.62,"2023-04-01 06:36:21",78.79,77.56,79.1,"2023-04-01 06:38:21",75.77,"2023-04-01 06:00:51",1012,1011.444,1011.845,"2023-04-01 06:51:42",1011.114,"2023-04-01 06:04:42",25.92,26.18234,26.436,"2023-04-01 06:00:01",25.895,"2023-04-01 06:58:02",13.35,4.565,15.37,"2023-04-01 06:56:52",0.01643225,10.29,"2023-04-01 06:53:15",4.033,185.2,21.22,0
"2023-04-01 08:00:00",12.06,25.49,21.77,22.14,22.7,"2023-04-01 07:00:01",21.72,"2023-04-01 07:55:21",76.41,78.51,80.3,"2023-04-01 07:15:31",76.26,"2023-04-01 07:55:01",1012,1012.2,1012.59,"2023-04-01 07:50:12",1011.771,"2023-04-01 07:03:52",25.56,25.77436,25.924,"2023-04-01 07:00:01",25.564,"2023-04-01 07:59:52",46.46,34.29,64.37,"2023-04-01 07:46:23",0.1234493,10.49,"2023-04-01 07:34:40",3.987,188.4,20.4,0
